evaluation,dataset_scope,stage,component,component_label,n_epochs,mean,sd,q10,median,q90,fraction_above_0p90
training_nested_subject_group_oof,Zhang,N2,f_repeat_micro_v3,fixed R^* micro-correction,69,0.4375657329611943,0.3773739088886897,0.004816886325821765,0.36743254135817943,0.9719504390867395,0.21739130434782608
training_nested_subject_group_oof,Zhang,N3,f_self_similarity,pure F_S,3,0.22782853528656452,0.36119737050869777,0.007886194584348631,0.03911169707809825,0.523257611272167,0.0
training_nested_subject_group_oof,Zhang,N3,f_old_return_prominence,old single-P correction,3,0.139006092166502,0.23934015680733353,0.00039935921302078375,0.0015306444596960914,0.3326030042027056,0.0
training_nested_subject_group_oof,Zhang,N3,f_repeat_micro_v3,fixed R^* micro-correction,3,0.2053709296276379,0.32939423880665497,0.006205177759003084,0.030727506483865775,0.4743940507537815,0.0
training_nested_subject_group_oof,Zhang,REM,f_self_similarity,pure F_S,17,0.6198442798529133,0.3570398667765764,0.07967646549126775,0.8181507576463433,0.9135257980045941,0.17647058823529413
training_nested_subject_group_oof,Zhang,REM,f_old_return_prominence,old single-P correction,17,0.6038042663526149,0.3548171258294407,0.015637303564993658,0.7394667653494582,0.9760048687527632,0.17647058823529413
training_nested_subject_group_oof,Zhang,REM,f_repeat_micro_v3,fixed R^* micro-correction,17,0.6127930867374901,0.3578518189491253,0.06384663000268528,0.7845284736415776,0.9116657456555689,0.17647058823529413
training_nested_subject_group_oof,Kumral,N1,f_self_similarity,pure F_S,4,0.9138073759592542,0.0540979122924483,0.8612038569970834,0.920693487544453,0.9609020056532661,0.5
training_nested_subject_group_oof,Kumral,N1,f_old_return_prominence,old single-P correction,4,0.9127881573413203,0.07177579699137843,0.8461283474849571,0.9373560845555542,0.9597936254262962,0.75
training_nested_subject_group_oof,Kumral,N1,f_repeat_micro_v3,fixed R^* micro-correction,4,0.9125206275715385,0.052264621654495025,0.8651991402984683,0.914257882930624,0.9584523105573401,0.5
training_nested_subject_group_oof,Kumral,N2,f_self_similarity,pure F_S,28,0.52405333607809,0.3973924688307487,0.018349127923355284,0.6027149974073347,0.9836041840641726,0.2857142857142857
