outer_fold,context,config_key,family_key,family_label,parameter_count,regularization,primary_eligible,mean_fold_loss,fold_loss_se,pooled_log_mse,pooled_mae_s,pooled_rmse_s,pooled_pearson_r,pooled_spearman_rho
2,outer_2_inner_training_only,bernstein_degree_2__lambda_1,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,1.0,True,2.053719510882053,0.631330347615124,2.199566626419618,679.9824854376363,946.1395205883877,0.7191314065554125,0.6402644138402115
2,outer_2_inner_training_only,bernstein_degree_2__lambda_10,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,10.0,True,2.154381468117222,0.6631510512657595,2.296511535317213,705.1784370596067,969.5166013058505,0.7115536861950515,0.6512655206072254
2,outer_2_inner_training_only,bernstein_degree_3__lambda_0,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,0.0,True,1.8259794992974496,0.47436543772805895,2.044167452318047,567.1869981432268,818.9487401100432,0.7138209489840036,0.6402644138402115
2,outer_2_inner_training_only,bernstein_degree_3__lambda_0.001,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,0.001,True,1.825993103997185,0.4743689883712615,2.044180883494806,567.1907580387464,818.9526783579312,0.7138201780157462,0.6402644138402115
2,outer_2_inner_training_only,bernstein_degree_3__lambda_0.01,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,0.01,True,1.8261156210652416,0.4744009867040992,2.04430183582661,567.2246144177249,818.9881406275914,0.7138132402137607,0.6402644138402115
2,outer_2_inner_training_only,bernstein_degree_3__lambda_0.1,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,0.1,True,1.8273510113841813,0.47472390316658897,2.045521391842797,567.5659265226689,819.3456092699008,0.7137431952996275,0.6402644138402115
2,outer_2_inner_training_only,bernstein_degree_3__lambda_1,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,1.0,True,1.840797551662761,0.4782727182599758,2.058788813341701,571.2724568951097,823.2243984617,0.7129709785001167,0.613861757599378
2,outer_2_inner_training_only,bernstein_degree_3__lambda_10,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,10.0,True,2.1414878581844823,0.6273775333864778,2.320723915927654,676.4198676973398,941.785209427094,0.7010717118184944,0.6160619789527808
2,outer_2_inner_training_only,bernstein_degree_4__lambda_0,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,0.0,True,1.7764527223758912,0.32001637651050197,2.0862783768221127,510.550094017784,743.8150302205858,0.7072820442190131,0.5896593227119474
2,outer_2_inner_training_only,bernstein_degree_4__lambda_0.001,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,0.001,True,1.7764687572226476,0.3200192079377088,2.086294318875369,510.55448232448737,743.8194960216742,0.7072811704929686,0.5896593227119474
2,outer_2_inner_training_only,bernstein_degree_4__lambda_0.01,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,0.01,True,1.7766131857684555,0.32004472629757946,2.0864379065075545,510.5939491053438,743.8596139150911,0.7072733139247392,0.5896593227119474
2,outer_2_inner_training_only,bernstein_degree_4__lambda_0.1,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,0.1,True,1.778071289588923,0.32030324744185923,2.0878874256989723,510.9922501039776,744.2644664652353,0.7071938847187321,0.5896593227119474
2,outer_2_inner_training_only,bernstein_degree_4__lambda_1,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,1.0,True,1.79414356870079,0.32325233985512103,2.1038539827972618,515.3672893792907,748.7094638973496,0.7063028355806296,0.6270630857197947
2,outer_2_inner_training_only,bernstein_degree_4__lambda_10,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,10.0,True,2.0927767156104524,0.652366273477028,2.2473973584019697,669.8174064041506,931.5593512089891,0.7019394445584276,0.6160619789527808
2,outer_2_inner_training_only,bernstein_degree_5__lambda_0,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,0.0,True,1.7803198170289904,0.1936122279151119,2.1881805667577843,466.6338429501596,682.47439241325,0.7018541680579967,0.6270630857197947
2,outer_2_inner_training_only,bernstein_degree_5__lambda_0.001,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,0.001,True,1.7803377561997906,0.19361097194297236,2.1881985190070368,466.6387420442148,682.4792356335023,0.7018532172811734,0.6270630857197947
2,outer_2_inner_training_only,bernstein_degree_5__lambda_0.01,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,0.01,True,1.780499418939942,0.19359970725840137,2.1883602972328817,466.6829003794143,682.522900331292,0.7018446489506379,0.6270630857197947
2,outer_2_inner_training_only,bernstein_degree_5__lambda_0.1,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,0.1,True,1.7821323911554736,0.1934881080246625,2.1899943033863463,467.12874409832386,682.9637702415546,0.7017579162522457,0.6270630857197947
2,outer_2_inner_training_only,bernstein_degree_5__lambda_1,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,1.0,True,1.8002527773165586,0.19252685776621178,2.2081098525701086,472.05262461769007,687.8350285376972,0.7007737648824123,0.5918595440653501
2,outer_2_inner_training_only,bernstein_degree_5__lambda_10,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,10.0,True,2.059739005985781,0.6460156425288864,2.212039704127788,655.0764584100052,910.354741071623,0.7012744104941067,0.6160619789527808
3,outer_3_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,2.4556809015959837,0.885233572136831,2.5231034185773,724.8577209362508,951.7777409979086,0.539725311859407,0.45764604150778004
3,outer_3_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,2.018309472143962,0.7048547384473707,2.704603269349854,337.44755125222343,512.7929089395813,0.5268771213789187,0.2948296613559737
3,outer_3_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,2.018336515764247,0.7048255221030306,2.7046222803600917,337.4604171087045,512.8108001842514,0.52687453667918,0.2948296613559737
3,outer_3_inner_training_only,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,2.0185798392795045,0.7045624096511443,2.704793182928382,337.57623617184083,512.9718703711641,0.5268512623827745,0.2948296613559737
